ticker,price,target_price,stop_price,prob_win,prob_win_raw,prob_stop,prob_stop_raw,ev_score,ev_score_raw,sd_weight,days_to_clear,size_factor,size_reason,beta,vol_ratio,turnover_oku,action,reason,sector_name,sector_score,sector_shock,sector_advice,sector_summary,macro_flow,standalone_shares,standalone_cost_yen,standalone_max_loss_yen,standalone_leverage_capped,standalone_maxpos_capped,skip_reason
1911.T,1215.0,1263.9,1190.6,0.3403,0.3749,0.4256,0.3733,0.255,0.37700000405311584,0.86,0.92,0.5,逆張りリバウンド警戒 (前日比-0.9%),0.08,1.13,49.9,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,200,243000,4880,False,True,
6370.T,7674.0,8060.1,7480.9,0.3391,0.3413,0.4281,0.4239,0.25,0.2590000033378601,0.99,0.3,1.0,通常ロット,0.99,0.85,43.1,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
4403.T,2583.5,2677.6,2536.4,0.3374,0.3308,0.426,0.4392,0.249,0.22200000286102295,1.03,0.34,0.5,逆張りリバウンド警戒 (前日比-0.2%),0.13,1.07,22.2,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,258350,4710,False,True,
5334.T,7417.0,7930.7,7160.1,0.3366,0.371,0.4264,0.374,0.247,0.36800000071525574,0.86,0.66,1.0,通常ロット,0.84,1.19,79.8,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,risk
2809.T,4461.0,4653.7,4364.6,0.3282,0.3057,0.4156,0.467,0.241,0.14399999380111694,1.11,0.1,1.0,通常ロット,-0.27,1.22,22.7,⏸️ WAIT,見送り,食料品・ディフェンシブ,0.0,False,通常,新規材料なし、ニュートラルを維持。,CTA_SURGE,0,0,0,False,False,maxpos
2875.T,9722.0,10116.9,9524.6,0.332,0.3435,0.4299,0.4094,0.234,0.27799999713897705,0.95,0.07,1.0,通常ロット,-0.3,0.99,51.3,⏸️ WAIT,見送り,食料品・ディフェンシブ,0.0,False,通常,新規材料なし、ニュートラルを維持。,CTA_SURGE,0,0,0,False,False,maxpos
2503.T,2821.0,2931.8,2765.6,0.3337,0.3452,0.4344,0.4137,0.233,0.2770000100135803,0.95,0.16,0.5,逆張りリバウンド警戒 (前日比-1.0%),-0.2,1.17,87.7,⏸️ WAIT,見送り,食料品・ディフェンシブ,0.0,False,通常,新規材料なし、ニュートラルを維持。,CTA_SURGE,100,282100,5540,False,True,
1332.T,1156.5,1207.4,1131.1,0.333,0.3444,0.4386,0.4177,0.227,0.2709999978542328,0.95,0.27,0.5,逆張りリバウンド警戒 (前日比-0.6%),-0.17,1.15,21.7,⏸️ WAIT,見送り,食料品・ディフェンシブ,0.0,False,通常,新規材料なし、ニュートラルを維持。,CTA_SURGE,200,231300,5080,False,True,
4022.T,1869.0,2040.9,1783.1,0.3288755714893341,0.3289,0.43437162041664124,0.4344,0.223,0.22300000488758087,1.0,3.69,1.0,通常ロット,2.08,0.92,14.5,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,186900,8590,False,True,
6834.T,6040.0,6917.9,5601.1,0.3167,0.297,0.4108,0.4538,0.223,0.14000000059604645,1.08,1.71,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),2.13,1.28,47.8,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,risk
4626.T,4744.0,4782.7,4724.6,0.3274,0.351,0.4377,0.3979,0.217,0.30399999022483826,0.9,0.64,1.0,通常ロット,0.29,0.87,12.2,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
6841.T,4693.0,4962.3,4558.4,0.328,0.3268,0.4434,0.4461,0.213,0.2070000022649765,0.99,0.21,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),0.79,1.17,41.4,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,maxpos
6845.T,1464.5,1529.9,1431.8,0.3284,0.3363,0.447,0.4327,0.21,0.23999999463558197,0.95,0.09,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),0.43,1.15,26.0,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,200,292900,6540,False,True,
6383.T,5521.0,5820.0,5371.5,0.3278,0.3415,0.4467,0.4214,0.209,0.2619999945163727,0.94,0.55,1.0,通常ロット,0.96,1.27,80.5,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
7936.T,4110.0,4388.3,3970.9,0.3263,0.3603,0.4487,0.3936,0.204,0.3269999921321869,0.86,0.82,1.0,通常ロット,0.35,1.0,198.8,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
4063.T,5903.0,6113.1,5797.9,0.3276,0.3378,0.4526,0.434,0.203,0.24199999868869781,0.94,0.62,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),0.85,1.31,391.4,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,maxpos
5202.T,496.0,499.0,494.5,0.3164,0.2943,0.4298,0.483,0.203,0.10599999874830246,1.11,0.25,1.0,通常ロット,0.02,1.29,11.8,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,600,297600,900,False,True,
4023.T,4110.0,4320.7,4004.6,0.3237853944301605,0.3238,0.44995298981666565,0.45,0.198,0.1979999989271164,1.0,1.0,0.5,逆張りリバウンド警戒 (前日比-1.2%),0.35,0.77,18.9,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
6506.T,4507.0,4802.7,4359.1,0.3227,0.3425,0.4505,0.4162,0.195,0.26899999380111694,0.9,2.29,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),1.62,0.97,132.5,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,maxpos
7701.T,3962.0,4124.1,3880.9,0.3227,0.3128,0.4516,0.4731,0.194,0.15299999713897705,1.03,0.21,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),0.35,0.81,46.2,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,maxpos
4680.T,1182.5,1295.9,1125.8,0.3178,0.3013,0.4469,0.4857,0.189,0.11699999868869781,1.08,0.73,1.0,通常ロット,0.32,0.81,27.6,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,200,236500,11340,False,True,
4578.T,11040.0,11633.6,10743.2,0.3216,0.3329,0.4568,0.4351,0.186,0.23100000619888306,0.95,0.06,0.5,逆張りリバウンド警戒 (前日比-0.7%),-0.08,1.06,177.5,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,risk
4516.T,3506.0,3598.3,3459.9,0.3205,0.3318,0.4564,0.4347,0.185,0.2290000021457672,0.95,0.45,1.0,通常ロット,0.08,1.09,17.3,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
7564.T,5220.0,5560.0,5050.0,0.3226,0.346,0.461,0.4191,0.184,0.27300000190734863,0.9,1.2,0.5,逆張りリバウンド警戒 (前日比-2.2%),0.13,1.21,29.9,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,0,0,0,False,False,risk
7453.T,3943.0,4177.7,3825.6,0.3205,0.3318,0.4579,0.4361,0.183,0.22699999809265137,0.95,0.45,1.0,通常ロット,-0.06,1.07,87.6,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
4732.T,1876.0,1933.4,1847.3,0.3174,0.3286,0.4532,0.4316,0.182,0.22499999403953552,0.95,0.07,0.5,逆張りリバウンド警戒 (前日比-1.6%),-0.13,1.4,28.0,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,187600,2870,False,True,
5110.T,2031.5,2141.6,1976.5,0.3212,0.3532,0.4616,0.4081,0.181,0.2980000078678131,0.86,0.87,1.03,通常ロット ＋ セクターセンチメント(+0.10 -> 1.03倍),0.45,1.32,34.7,⏸️ WAIT,見送り,自動車・輸出,0.1,False,通常,米議員の中国車排除要求は日本車に追い風も影響は限定的。,CTA_SURGE,100,203150,5500,False,True,
4091.T,5570.0,5838.1,5435.9,0.3195,0.3132,0.4591,0.4733,0.18,0.15299999713897705,1.03,0.21,1.0,通常ロット,0.29,1.36,43.8,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
6806.T,24920.0,26123.6,24318.2,0.3183,0.3086,0.4622,0.4843,0.174,0.13300000131130219,1.03,0.15,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),0.91,1.01,34.4,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,risk
9143.T,1492.0,1541.5,1467.2,0.3166,0.3349,0.4596,0.4255,0.174,0.24400000274181366,0.92,0.63,1.0,通常ロット,-0.19,0.97,17.9,⏸️ WAIT,見送り,海運・物流,0.0,False,通常,海外海運決算材料は時間減衰により影響限定的。,CTA_SURGE,200,298400,4960,False,True,
4755.T,691.8,726.8,674.3,0.3174,0.351,0.4631,0.4062,0.172,0.29600000381469727,0.86,1.71,0.5,逆張りリバウンド警戒 (前日比-2.3%),0.12,1.6,109.4,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,400,276720,7000,False,True,
6465.T,5350.0,5546.9,5251.6,0.3171,0.3355,0.4651,0.4307,0.169,0.23999999463558197,0.92,0.65,1.0,通常ロット,0.02,1.31,18.8,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
6436.T,3875.0,3980.7,3822.1,0.3038,0.2897,0.4568,0.4911,0.151,0.08799999952316284,1.07,0.09,1.0,通常ロット,0.04,0.94,15.5,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
7988.T,4938.0,5126.7,4843.6,0.3079,0.31,0.4768,0.472,0.139,0.14800000190734863,0.99,0.38,1.0,通常ロット,0.33,1.03,11.3,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
7012.T,2400.0,2572.0,2314.0,0.307,0.3203,0.4786,0.4515,0.135,0.1889999955892563,0.94,1.67,0.5,逆張りリバウンド警戒 (前日比-0.2%),0.67,0.76,285.7,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,100,240000,8600,False,False,
7278.T,6000.0,6198.6,5900.7,0.3039,0.3201,0.4833,0.4511,0.124,0.1889999955892563,0.92,0.79,1.03,通常ロット ＋ セクターセンチメント(+0.10 -> 1.03倍),0.2,1.31,15.5,⏸️ WAIT,見送り,自動車・輸出,0.1,False,通常,米議員の中国車排除要求は日本車に追い風も影響は限定的。,CTA_SURGE,0,0,0,False,False,maxpos
9202.T,3012.0,3101.2,2967.4,0.2991,0.2929,0.4749,0.4896,0.123,0.09600000083446503,1.03,0.0,1.0,通常ロット,0.17,1.03,74.0,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
4151.T,2261.5,2406.5,2189.0,0.303,0.314,0.486,0.4629,0.12,0.16500000655651093,0.95,0.28,1.0,通常ロット,-0.02,1.41,38.6,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,226150,7250,False,True,
2801.T,1648.5,1727.4,1609.1,0.3025,0.3135,0.4896,0.4662,0.115,0.16099999845027924,0.95,0.18,0.5,逆張りリバウンド警戒 (前日比-0.4%),-0.28,0.95,59.1,⏸️ WAIT,見送り,食料品・ディフェンシブ,0.0,False,通常,新規材料なし、ニュートラルを維持。,CTA_SURGE,100,164850,3940,False,True,
3407.T,1606.5,1671.1,1574.2,0.3012,0.2951,0.4878,0.5029,0.115,0.08699999749660492,1.03,0.31,1.0,通常ロット,0.29,0.91,71.9,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,160650,3230,False,True,
5947.T,3438.0,3567.7,3373.1,0.3008,0.3117,0.4864,0.4632,0.115,0.1599999964237213,0.95,0.24,1.0,通常ロット,-0.15,1.41,12.1,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
6361.T,4510.0,4849.0,4340.5,0.2973,0.2932,0.4806,0.4904,0.114,0.09600000083446503,1.02,0.61,1.0,通常ロット,1.67,1.89,123.0,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
6136.T,3540.0,3741.0,3439.5,0.2967,0.2906,0.4907,0.5058,0.103,0.07500000298023224,1.03,0.31,1.0,通常ロット,0.84,1.18,12.3,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
3291.T,2252.0,2328.2,2213.9,0.2955,0.2976,0.4908,0.4859,0.1,0.10899999737739563,0.99,0.3,1.0,通常ロット,0.05,1.18,13.7,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,225200,3810,False,True,
3086.T,2676.5,2826.0,2601.8,0.2982,0.3091,0.4989,0.4752,0.098,0.14300000667572021,0.95,0.21,1.0,通常ロット,0.25,0.78,29.8,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,100,267650,7470,False,True,
6273.T,68510.0,72888.6,66320.7,0.2929,0.2869,0.4917,0.5069,0.094,0.06700000166893005,1.03,0.22,1.0,通常ロット,1.19,1.15,200.5,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,0,0,0,False,False,risk
8593.T,1365.5,1403.9,1346.3,0.2891,0.2835,0.4855,0.4994,0.093,0.06800000369548798,1.02,0.67,0.52,逆張りリバウンド警戒 (前日比-1.4%) ＋ セクターセンチメント(+0.10 -> 1.03倍),-0.0,1.7,58.5,⏸️ WAIT,見送り,銀行・金融,0.1,False,通常,日経平均の上昇基調継続も、追加材料乏しく静観姿勢。,CTA_SURGE,200,273100,3840,False,True,
8242.T,2847.5,2957.0,2792.8,0.2905,0.2845,0.4927,0.5079,0.088,0.061000000685453415,1.03,0.12,1.0,通常ロット,-0.01,1.16,10.9,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,100,284750,5470,False,True,
9616.T,3233.0,3372.6,3163.2,0.2923,0.2903,0.4973,0.5024,0.087,0.07800000160932541,1.01,0.7,1.0,通常ロット,0.13,1.35,27.0,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
8252.T,2864.0,2943.4,2824.3,0.2907,0.3014,0.496,0.4724,0.085,0.12999999523162842,0.95,0.38,0.5,逆張りリバウンド警戒 (前日比-0.6%),-0.09,1.02,27.1,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,100,286400,3970,False,True,
5938.T,1725.0,1762.3,1706.4,0.29,0.3075,0.4965,0.4597,0.083,0.1550000011920929,0.92,0.81,0.5,逆張りリバウンド警戒 (前日比-0.3%),0.04,0.97,37.5,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,172500,1860,False,True,
6503.T,5274.0,5588.0,5117.0,0.2953,0.3177,0.5087,0.4624,0.082,0.17299999296665192,0.9,0.72,1.0,通常ロット,1.11,1.12,281.0,⏸️ WAIT,見送り,防衛・重工,0.0,False,通常,防衛関連ニュースは36時間以上経過しており織り込み済み。,CTA_SURGE,0,0,0,False,False,maxpos
4208.T,3425.0,3560.3,3357.4,0.2925,0.3055,0.5084,0.4796,0.077,0.13099999725818634,0.94,0.89,0.5,逆張りリバウンド警戒 (前日比-0.8%),0.42,0.77,33.5,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
5929.T,3480.0,3612.3,3413.9,0.2907,0.3014,0.5061,0.482,0.075,0.12099999934434891,0.95,0.16,1.0,通常ロット,0.13,1.01,21.0,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
6146.T,53320.0,57674.3,51142.9,0.2901,0.3186,0.5053,0.4505,0.075,0.18700000643730164,0.86,0.73,1.06,通常ロット ＋ セクターセンチメント(+0.20 -> 1.06倍),1.99,1.05,680.0,⏸️ WAIT,見送り,半導体・ハイテク,0.2,False,通常,米中貿易休戦の延長報道で対中規制悪化への警戒感が和らぐ。,CTA_SURGE,0,0,0,False,False,risk
9364.T,4893.0,5010.9,4834.1,0.2827,0.2768,0.4904,0.5056,0.075,0.04800000041723251,1.03,0.17,1.0,通常ロット,-0.07,0.86,18.0,⏸️ WAIT,見送り,海運・物流,0.0,False,通常,海外海運決算材料は時間減衰により影響限定的。,CTA_SURGE,0,0,0,False,False,maxpos
9001.T,2947.0,3032.3,2904.4,0.276,0.2557,0.4808,0.5403,0.071,-0.028999999165534973,1.11,0.28,0.5,逆張りリバウンド警戒 (前日比-0.4%),-0.13,1.27,27.8,⏸️ WAIT,見送り,海運・物流,0.0,False,通常,海外海運決算材料は時間減衰により影響限定的。,CTA_SURGE,100,294700,4260,False,True,
3563.T,4894.0,5349.6,4666.2,0.2886,0.2992,0.5095,0.4852,0.068,0.11299999803304672,0.95,0.26,0.5,逆張りリバウンド警戒 (前日比-0.9%),-0.03,1.09,194.5,⏸️ WAIT,見送り,小売・消費・インバウンド,0.0,False,通常,特筆すべき新規材料はなく織り込み済み。,CTA_SURGE,0,0,0,False,False,risk
4114.T,2580.5,2684.1,2528.7,0.2868,0.2807,0.5061,0.5218,0.068,0.03999999910593033,1.03,0.4,1.0,通常ロット,0.29,0.86,30.4,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,258050,5180,False,True,
7269.T,1991.0,2102.2,1935.4,0.2894,0.2899,0.5119,0.5109,0.067,0.0689999982714653,0.99,0.46,0.52,逆張りリバウンド警戒 (前日比-1.8%) ＋ セクターセンチメント(+0.10 -> 1.03倍),0.37,1.46,125.3,⏸️ WAIT,見送り,自動車・輸出,0.1,False,通常,米議員の中国車排除要求は日本車に追い風も影響は限定的。,CTA_SURGE,100,199100,5560,False,True,
4205.T,2420.5,2538.9,2361.3,0.2832,0.2625,0.5004,0.5622,0.066,-0.03700000047683716,1.11,0.44,1.0,通常ロット,0.51,1.09,22.4,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,100,242050,5920,False,True,
8804.T,3293.0,3432.9,3223.1,0.2841,0.2782,0.5043,0.5199,0.064,0.035999998450279236,1.03,0.11,1.0,通常ロット,0.16,1.24,39.2,⏸️ WAIT,見送り,,0.0,False,通常,,CTA_SURGE,0,0,0,False,False,maxpos
